Game,Winner,Moves,FinalScore
563,W,66,"FinalCount => B:7, W:18"
564,W,70,"FinalCount => B:9, W:16"
565,W,97,"FinalCount => B:11, W:14"
566,W,80,"FinalCount => B:9, W:16"
567,W,82,"FinalCount => B:9, W:16"
568,W,69,"FinalCount => B:11, W:14"
569,W,62,"FinalCount => B:10, W:15"
570,W,80,"FinalCount => B:9, W:16"
571,W,52,"FinalCount => B:11, W:14"
572,W,89,"FinalCount => B:10, W:15"
573,W,89,"FinalCount => B:12, W:13"
574,W,65,"FinalCount => B:10, W:15"
575,B,79,"FinalCount => B:13, W:12"
576,W,79,"FinalCount => B:10, W:15"
577,W,78,"FinalCount => B:10, W:15"
578,W,96,"FinalCount => B:10, W:15"
579,W,100,"FinalCount => B:11, W:14"
580,B,80,"FinalCount => B:15, W:10"
581,B,49,"FinalCount => B:14, W:11"
582,W,75,"FinalCount => B:10, W:15"
583,W,76,"FinalCount => B:10, W:15"
584,W,87,"FinalCount => B:12, W:13"
585,B,79,"FinalCount => B:13, W:12"
586,W,74,"FinalCount => B:12, W:13"
587,W,78,"FinalCount => B:8, W:17"
588,B,114,"FinalCount => B:14, W:11"
589,W,79,"FinalCount => B:11, W:14"
590,W,69,"FinalCount => B:10, W:15"
591,W,121,"FinalCount => B:9, W:16"
592,W,85,"FinalCount => B:11, W:14"
593,W,128,"FinalCount => B:11, W:14"
594,B,117,"FinalCount => B:14, W:11"
595,W,103,"FinalCount => B:11, W:14"
596,B,71,"FinalCount => B:13, W:12"
597,W,93,"FinalCount => B:10, W:15"
598,W,89,"FinalCount => B:10, W:15"
599,B,67,"FinalCount => B:13, W:12"
600,W,72,"FinalCount => B:10, W:15"
601,W,67,"FinalCount => B:10, W:15"
602,W,78,"FinalCount => B:8, W:17"
603,B,49,"FinalCount => B:14, W:11"
604,W,74,"FinalCount => B:9, W:16"
605,W,76,"FinalCount => B:10, W:15"
606,B,88,"FinalCount => B:13, W:12"
607,B,84,"FinalCount => B:13, W:12"
608,B,65,"FinalCount => B:13, W:12"
609,W,110,"FinalCount => B:10, W:15"
610,B,118,"FinalCount => B:16, W:9"
611,B,85,"FinalCount => B:13, W:12"
612,W,66,"FinalCount => B:9, W:16"
613,W,62,"FinalCount => B:10, W:15"
614,W,70,"FinalCount => B:9, W:16"
615,W,71,"FinalCount => B:10, W:15"
616,B,85,"FinalCount => B:13, W:12"
617,W,62,"FinalCount => B:10, W:15"
618,W,89,"FinalCount => B:9, W:16"
619,W,84,"FinalCount => B:12, W:13"
620,W,76,"FinalCount => B:11, W:14"
621,W,74,"FinalCount => B:11, W:14"
622,W,80,"FinalCount => B:9, W:16"
623,W,96,"FinalCount => B:10, W:15"
624,W,61,"FinalCount => B:12, W:13"
625,W,41,"FinalCount => B:12, W:13"
626,W,78,"FinalCount => B:12, W:13"
627,W,91,"FinalCount => B:9, W:16"
628,W,100,"FinalCount => B:11, W:14"
629,W,62,"FinalCount => B:10, W:15"
630,W,62,"FinalCount => B:10, W:15"
631,W,55,"FinalCount => B:11, W:14"
